Carspaces,Bathrooms,Bedrooms,Address,Price,Type,Date_time,Date,Area,Name
4,,4,"Address available on request, Box Hill","$2,550,000",Townhouse,,,,
2,2,3,"Address available on request, Mount Waverley","Private Sale-$1,050,000-$1,150,000",Unit,,,350m²,
1,1,3,"13 Ophir Road, Mount Waverley",,House,,,766m²,
,,,,,,,,,
1,1,1,"116/112-124 Middleborough Road, Blackburn South","$379,000",Apartment,,,,
1,2,3,"1209/845-851 Whitehorse Road, Box Hill","$739,000-759,000",Apartment,,,97m²,
,1,1,"Address available on request, Abbotsford","$535,000",Apartment,,,,
1,2,2,"2609/545 Station Street, Box Hill","$670,000.00 -690,000.00",Apartment,,,75m²,
1,2,3,"2 Berwen Street, Chelsea",,House,,,615m²,
,,,,,,,,,
2,3,4,"Address available on request, Burwood East","$1,820,000",Townhouse,,,236m²,
,,,,,,,,,
,1,1,"320/2 Eastern Place, Hawthorn East",,Apartment,,,,
3,3,4,"Address available on request, Box Hill South","$1,790,000",Townhouse,,,,
1,2,3,"201/85 Yarrbat Place, Balwyn","$1,250,000 - Retirement Living",Retirement living,,,,
1,1,1,"5/20 Burnley street, Richmond","$409,000",Apartment,,,,
,,,,,,,,,
2,2,3,"732/20 Shamrock Street, Abbotsford",,Apartment,Inspection tomorrow 4:00 pm,Inspection tomorrow,,
3,,3,"Address available on request, Camberwell","$1,295,000",Townhouse,,,,
2,3,4,"Address available on request, Burwood East",,Townhouse,,,,
2,1,2,"518/4-14 Burke Avenue, Hawthorn East","ESR: $705,000 - $775,000",Apartment,Inspection Wed 17 Sep 5:30 pm,Inspection Wed 17 Sep,76m²,
2,4,4,"Address available on request, Mount Waverley","$1,910,000",Townhouse,,,236.9m²,
,,,,,,,,,
2,3,3,"Address available on request, Mount Waverley","$1,295,000",Townhouse,,,177m²,
1,1,1,"G05/264 Waterdale Road, Ivanhoe","$370,000 - $400,000",Apartment,Inspection Sat 20 Sep 10:00 am,Inspection Sat 20 Sep,,
2,3,3,"Address available on request, Ivanhoe","$1,585,000",Townhouse,,,162.4m²,
1,3,2,"Address available on request, Ivanhoe","$970,000",Townhouse,,,107m²,
,1,1,"22/1219-1221 Riversdale Road, Box Hill South","$275,000",Apartment,,,,
,,,,,,,,,
3,,3,"Address available on request, Balwyn North","$1,750,000",Townhouse,,,,
2,1,3,"12 Malcolm Court, Mount Waverley",,House,,,792m²,
1,,2,"709/17 Arnold Street, Box Hill","530,000-570,000",Apartment,,,66.5m²,
3,4,4,"Address available on request, Hawthorn","$3,520,000",Apartment,,,372m²,
2,2,3,"Address available on request, Hawthorn","$2,500,000",Apartment,,,171m²,
,,,,,,,,,
2,2,2,"Address available on request, Hawthorn","$1,525,000",Apartment,,,114m²,
1,2,2,"402/171 Buckingham Street, Richmond","$830,000",Apartment,,,87m²,
3,2,3,"505/171 Buckingham Street, Richmond","$1,340,000",Apartment,,,,
2,,2,"Address available on request, Abbotsford","$860,000",Block of units,,,,
1,2,2,"10/204 Whitehorse Road, Balwyn","$640,000 - $680,000",Apartment,,,,
,,,,,,,,,
4,,4,"Address available on request, Ashburton","$1,815,000",Townhouse,,,200m²,
,,,,,,,,,
4,,4,"Address available on request, Box Hill South","$1,740,000",Townhouse,,,196.3m²,
2,3,4,"Address available on request, Ashwood","$1,695,000",Townhouse,,,193m²,
3,,4,"Address available on request, Balwyn North","$1,690,000",Townhouse,,,193.9m²,
1,1,1,"24-26 Lower Heidelberg Road, Ivanhoe","$545,000",Apartment,,,,
,,,,,,,,,
1,1,1,"24-26 Lower Heidelberg Road, Ivanhoe","$565,000",Apartment,,,,
1,2,2,"24-26 Lower Heidelberg Road, Ivanhoe","$735,000",Apartment,,,,
2,,2,"24-26 Lower Heidelberg Road, Ivanhoe","$869,000",Apartment,,,,
1,1,2,"24-26 Lower Heidelberg Road, Ivanhoe","$729,000",Apartment,,,,
2,,2,"24-26 Lower Heidelberg Road, Ivanhoe","$975,000",Apartment,,,,
,,,,,,,,,
3,3,3,"604/765-769 Toorak Road, Hawthorn East","From $1,395,000 - $1,550,000",Apartment,Inspection Sat 20 Sep 2:00 pm,Inspection Sat 20 Sep,,
2,2,3,"602/765-769 Toorak Road, Hawthorn East","From $1,170,000 - $1,300,000",Apartment,Inspection Sat 20 Sep 2:00 pm,Inspection Sat 20 Sep,,
2,2,3,"G02/765-769 Toorak Road, Hawthorn East","From $1,305,000 - $1,450,000",Apartment,Inspection Sat 20 Sep 2:00 pm,Inspection Sat 20 Sep,,
,1,1,"212/1-5 Queens Avenue, Hawthorn",$110k,Unit,,,,
2,3,4,"Address available on request, Burwood East","$1,820,000",Townhouse,,,236.2m²,
,,,,,,,,,
1,2,2,"1401 The Tate Scotch Hill Gardens, Hawthorn","$1,350,000",Apartment,,,90m²,
3,,4,"Address available on request, Blackburn South","$1,750,000",Townhouse,,,230m²,
2,3,4,"Address available on request, Balwyn North","$1,765,000",Townhouse,,,207.2m²,
2,3,4,"Address available on request, Balwyn North","$1,695,000",Townhouse,,,193.9m²,
2,3,4,"Address available on request, Balwyn North","$1,690,000-$1,790,000",Townhouse,,,227m²,
,,,,,,,,,
2,,2,"1611/545 Station Street, Box Hill",,Apartment,,,81m²,
1,2,2,"24-26 Lower Heidelberg Road, Ivanhoe","$719,000",Apartment,,,,
2,2,3,"24-26 Lower Heidelberg Road, Ivanhoe","$1,255,000",Apartment,,,,
2,2,3,"24-26 Lower Heidelberg Road, Ivanhoe","$1,449,000",Apartment,,,,
2,3,4,"2 Donna Buang Street, Camberwell","EOI: $3,200,000 - $3,500,000",House,Inspection Thu 18 Sep 10:30 am,Inspection Thu 18 Sep,942m²,
,,,,,,,,,
2,,2,"1/245-247 Stawell Street, Richmond","$1,700,000",Townhouse,,,,
,,,,,,,,,
1,2,3,"398-400 Johnston Street, Abbotsford",,Apartment,,,,
1,1,2,"398-400 Johnston Street, Abbotsford",,Apartment,,,,
,1,1,"398-400 Johnston Street, Abbotsford",,Apartment,,,,
2,2,3,"6/1610 Malvern Road, Glen Iris",,Townhouse,,,,
,,,,,,,,,
2,,3,"1/1610 Malvern Road, Glen Iris",,Townhouse,,,,
2,2,3,"1023 Heidelberg Road, Ivanhoe",,Apartment,,,,
3,,4,"64-66 Glyndon Road, Camberwell",,Townhouse,,,,
2,,3,"64-66 Glyndon Road, Camberwell",,Townhouse,,,,
2,,3,"2 Clyde Street, Kew East","$1,650,000",Townhouse,,,,
,,,,,,,,,
2,3,4,"Address available on request, Camberwell","$1,375,000 - $1,395,000",Townhouse,,,221m²,
2,3,4,"Address available on request, Glen Iris","$2,250,000 Stunning Luxury",Townhouse,,,268m²,
1,1,2,"26/349 Riversdale Road, Hawthorn East","$840,000",Retirement living,,,,
2,,3,"Address available on request, Alphington",,Townhouse,,,155m²,
2,5,5,"Address available on request, Glen Iris","$5,980,000",House,,,600m²,
,,,,,,,,,
3,,4,"Address available on request, Camberwell","$1,395,000",Townhouse,,,"2,053.16m²",
1,2,2,"Address available on request, Box Hill","$650,000",Apartment,,,74m²,
,2,2,"Address available on request, Box Hill","$615,000",Apartment,,,83m²,
1,1,1,"Address available on request, Box Hill","$566,000",Apartment,,,70m²,
2,2,4,"5 Maureen Street, Mount Waverley","Private Sale: $1,900,000 - $2,090,000",House,,,819m²,
,,,,,,,,,
2,2,4,"39 Biscayne Drive, Mount Waverley","Private Sale: $1,690,000 - $1,790,000",House,Inspection Wed 17 Sep 2:00 pm,Inspection Wed 17 Sep,730m²,
1,1,2,"7/1423 High Street, Glen Iris","$500,000 - $550,000",Apartment,,,,
2,2,4,"Address available on request, Balwyn North",,House,,,,
2,3,3,"Address available on request, Camberwell","$1,895,000",Townhouse,,,,
2,3,4,"Address available on request, Ashburton","$1,990,000",Townhouse,,,,
,,,,,,,,,
2,,3,"3 Serle Lane, Hawthorn","$1,400,000",Townhouse,,,,
,,,,,,,,,
1,,1,"503/828 Whitehorse Road, Box Hill","$380,000 - $410,000",Apartment,Inspection Thu 18 Sep 2:00 pm,Inspection Thu 18 Sep,,
,1,2,"84 Stawell Street, Richmond","$915,000",House,Inspection Wed 17 Sep 12:00 pm,Inspection Wed 17 Sep,,
1,1,2,"Address available on request, Richmond",,Apartment,,,,
,1,1,"35/589 Glenferrie Road, Hawthorn","$150,000 - $160,000",Apartment,Inspection Sat 20 Sep 11:00 am,Inspection Sat 20 Sep,,
,,,,,,,,,
1,1,1,"814/443 Upper Heidelberg Road, Ivanhoe","$380,000 - $395,000",Apartment,,,,
1,,2,"Address available on request, Blackburn South","$720,000",Retirement living,,,113m²,
,,1,"35/29 Lynch Street, Hawthorn","$149,900",Apartment,Inspection Thu 18 Sep 1:00 pm,Inspection Thu 18 Sep,,
1,,2,"5/51 Lynden Street, Camberwell","$725,000",Retirement living,,,,
,1,1,"109/2 Eastern Place, Hawthorn East",$120k ~ $130k,Apartment,,,,
,,,,,,,,,
2,4,4,"Address available on request, Mount Waverley","$3,590,000",Townhouse,,,720m²,
2,2,3,"Address available on request, Kew East","$1,660,000",Townhouse,,,181m²,
2,2,3,"Address available on request, Kew East","$1,910,000",Townhouse,,,200m²,
1,2,2,"24-26 Lower Heidelberg Road, Ivanhoe","$835,000",Apartment,,,,
1,1,1,"24-26 Lower Heidelberg Road, Ivanhoe","$505,000",Apartment,,,,
,,,,,,,,,
2,2,3,"24-26 Lower Heidelberg Road, Ivanhoe","$1,075,000",Apartment,,,,
1,2,2,"G7/1631 Malvern Road, Glen Iris","$709,000",Apartment,Inspection tomorrow 12:00 pm,Inspection tomorrow,,
1,2,2,"LG6/1635 Malvern Road, Glen Iris","$895,000",Apartment,Inspection tomorrow 12:00 pm,Inspection tomorrow,,
1,2,2,"113/1637 Malvern Road, Glen Iris","$765,000",Apartment,Inspection tomorrow 12:00 pm,Inspection tomorrow,,
1,2,2,"109/1633 Malvern Road, Glen Iris","$735,000",Apartment,Inspection tomorrow 12:00 am,Inspection tomorrow,,
,,,,,,,,,
1,2,2,"G9/1637 Malvern Road, Glen Iris","$725,000",Apartment,Inspection tomorrow 12:00 pm,Inspection tomorrow,,
3,,4,"Address available on request, Blackburn South","$1,935,000",Townhouse,,,,
2,3,3,"125-127 Doncaster Road, Balwyn",,Apartment,,,,
2,2,2,"125-127 Doncaster Road, Balwyn",,Apartment,,,,
2,,3,"4/245-247 Stawell Street, Richmond","$1,900,000",Townhouse,,,,
,,,,,,,,,
1,1,2,"C104/5 Flockhart Street, Abbotsford","$450,000 to $465,000",Apartment,,,,
,,,,,,,,,
1,2,2,"1108A/845 Whitehorse Road, Box Hill","$565,000 - $605,000",Apartment,,,85m²,
,1,1,"4/589 Glenferrie Road, Hawthorn","$165,000",Apartment,,,,
1,1,2,"G02/2-4 KENT ROAD, Box Hill","$520,000-$550,000",Apartment,,,,
1,1,1,"102/436-442 Huntingdale Road, Mount Waverley",,Apartment,,,,
,,,,,,,,,
,1,2,"EG04/11 Flockhart Street, Abbotsford","$350,000 to $385,000",Apartment,,,,
3,,4,"1/8 Tarella Drive, Mount Waverley",,Townhouse,,,,
,8,2,"79 Power Street, Hawthorn",,Other,,,,
1,,1,"606/36 Regent Street, Richmond",,Apartment,,,59m²,
1,1,1,"307/20 Burnley Street, Richmond","$390,000 to $420,000",Apartment,,,,
,,,,,,,,,
1,2,2,"206/72-84 Upper Heidelberg Road, Ivanhoe","$426,000",Apartment,,,,
1,,1,"303/2A Montrose Place, Hawthorn East","$380,000-$420,000",Apartment,,,,
1,2,2,"G04/746 Station Street, Box Hill","$550,000",Apartment,,,,
1,2,2,"721/20 Shamrock Street, Abbotsford","$520,000",Apartment,,,,
