web-scraper-order,web-scraper-start-url,pagination-selector,image-src,data,data2,data3,data4,data5,data6,position,position2,data7,position3,data8,price,image2-src,image3-src,name
"1758100716-34","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-2?includeSurrounding=false&activeSort=relevance","https://i2.au.reastatic.net/340x64/4797a623ebf45f58a8c2a3fc7500c10b4565fd96be10bfaa6a950b903ca62bc8/logo.jpg","•","Auction Sat 20 Sep","1:00 pm","","Inspection tomorrow 10:00 am","Inspection tomorrow","2","2","House","3","61 Argyle Road, Kew","$3,000,000 - $3,300,000","https://i2.au.reastatic.net/800x600/08787bccd26f18a6ce05e3c5c6c8ff956ef4eb150e3b75df0e240d84ae18f901/image.jpg","https://i2.au.reastatic.net/200x200-crop,gravity=north/fbd78ae3645013e56876a5abf41d3a31ade113c9fb4b2bcf5f90ff57b5ae3f03/main.jpg","Greg Bowring"
"1758100716-35","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-2?includeSurrounding=false&activeSort=relevance","","","","","","","","","","","","","","","",""
"1758100716-36","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-2?includeSurrounding=false&activeSort=relevance","https://i2.au.reastatic.net/340x64/4797a623ebf45f58a8c2a3fc7500c10b4565fd96be10bfaa6a950b903ca62bc8/logo.jpg","•","Auction Sat 20 Sep","1:00 pm","","Inspection tomorrow 3:00 pm","Inspection tomorrow","1","1","Apartment","2","12/39 Pakington Street, Kew","$690,000 - $725,000","https://i2.au.reastatic.net/800x600/1b504593eab0a04379b0f08253c551d564b48982dce47e4ceb661a3502400989/image.jpg","https://i2.au.reastatic.net/200x200-crop,gravity=north/7083792a2826879dac4edef978bff311f056d22e3d37d96d9c5102429d7b0932/main.jpg","Mark Salvati"
"1758100716-37","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-2?includeSurrounding=false&activeSort=relevance","https://i2.au.reastatic.net/340x64/c8907e49cb0a2985518fb8bad8f1c989f67de4327609d3d1e8abdc1a4318ec1e/logo.jpg","•","Auction Sat 20 Sep","10:00 am","","Inspection tomorrow 12:00 pm","Inspection tomorrow","1","1","Unit","2","1/28 McComas Grove, Burwood","","https://i2.au.reastatic.net/800x600/021b9e67b47dcda74f85278839bdc4f870a8af82ef05d398fa6da1a69299c570/image.jpg","https://i2.au.reastatic.net/200x200-crop,gravity=north/def03c7c4fe4394acca92eb163e9c9b05f0aabae2e1afa348677487f8b2b6432/main.jpg","Britney Flack"
"1758100716-38","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-2?includeSurrounding=false&activeSort=relevance","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","","","","","","2","2","Townhouse","3","22 Cookson Way, Burwood","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/8a21dc13551f31d3e7a3f25b6f10962d54b6e0f8e63c412f6dbf434c9866cc07/main.jpg","Alan Zhang"
"1758100716-39","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-2?includeSurrounding=false&activeSort=relevance","","","","","","","","2","3","","3","9  O’Shaughnessy Street, Kew","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","",""
"1758100716-40","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-2?includeSurrounding=false&activeSort=relevance","","","","","","","","","","","","","","","",""
"1758100716-41","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-2?includeSurrounding=false&activeSort=relevance","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","Auction Sat 18 Oct","12:00 pm","Added 2 days ago","Inspection tomorrow 3:00 pm","Inspection tomorrow","2","1","Unit","3","1/1 Scott Grove, Burwood","Auction: $960,000 - $1,050,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/c424a3780bcc763452bc134439816da8ba86dc5b15cbaa549307648971362c54/main.jpg","Hans Liu"
"1758100716-42","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-2?includeSurrounding=false&activeSort=relevance","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","","","","","","2","3","Townhouse","4","12 Tennyson St, Burwood","$1,450,000 - $1,550,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/8310e0ff14dceda5ae1675d862ce7b7815234e91992dce62332759f14892e150/main.jpg","Tim Lu"
"1758100716-43","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-2?includeSurrounding=false&activeSort=relevance","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","","","","","","1","1","Apartment","2","103/415 Highbury Road, Burwood","Private Sales :$480,000-$490,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/50865b63f3727aecad499845c4f4c0ab238e7c5335cdc8294d6f8f72ac2a0590/main.jpg","Yubee Wu"
